םמלונ ךג;עטן ךג.;מב.ןכמש;זטכ.ןכ;ךמכ.ךמל;‎עאז ;Öוםא;צוםא חא ךג.;גטה ;ןמהüוחה;;
29;1;40.10;37.30;1;4;3336 200;83 000;כוס;ןמהתוחה 1;;
30;C;30.30;27.70;1;4;2514 900;83 000;כוס;ןמהתוחה 1;;
31;E2;50.40;46.80;2;4;4191 500;83 000;כוס;ןמהתוחה 1;;
32;C;28.50;26.40;1;4;2373 800;83 000;כוס;ןמהתוחה 1;;
33;E3;70.10;66.90;3;5;5958 500;85 000;כוס;ןמהתוחה 1;;
34;E2;47.70;44.10;2;5;4054 500;85 000;כוס;ןמהתוחה 1;;
35;C;30.30;27.70;1;5;2575 500;85 000;כוס;ןמהתוחה 1;;
36;1;40.80;38.00;1;5;3468 000;85 000;כוס;ןמהתוחה 1;;
37;1;40.10;37.30;1;5;3408 500;85 000;כוס;ןמהתוחה 1;;
38;C;30.30;27.70;1;5;2575 500;85 000;כוס;ןמהתוחה 1;;
39;E2;50.40;46.80;2;5;4282 400;85 000;כוס;ןמהתוחה 1;;
40;C;28.50;26.40;1;5;2422 500;85 000;כוס;ןמהתוחה 1;;
121;E3;74.50;67.00;3;6;6332 500;85000;הגמנ;ןמהתוחה 2;;
122;E2;48.30;45.00;2;6;3767400;78000;ףכטצא;ןמהתוחה 2;;
123;1;38.90;36.10;1;6;3034200;78000;ףכטצא;ןמהתוחה 2;;
124;1;39.20;36.40;1;6;3057600;78000;ףכטצא;ןמהתוחה 2;;
125;C;28.50;26.10;1;6;2223000;78000;ףכטצא;ןמהתוחה 2;;
126;C;30.90;28.30;1;6;2410200;78000;ףכטצא;ןמהתוחה 2;;
127;C;30.00;27.40;1;6;2550000;85000;הגמנ;ןמהתוחה 2;;
128;E2;48.10;44.90;2;6;4088500;85000;הגמנ;ןמהתוחה 2;;
129;E3;74.50;67.00;3;7;6332500;85000;הגמנ;ןמהתוחה 2;;
130;E2;48.30;45.00;2;7;3767400;78000;ףכטצא;ןמהתוחה 2;;
131;1;38.90;36.10;1;7;3034200;78000;ףכטצא;ןמהתוחה 2;;
132;1;39.20;36.40;1;7;3057600;78000;ףכטצא;ןמהתוחה 2;;
133;C;28.50;26.10;1;7;2223000;78000;ףכטצא;ןמהתוחה 2;;
134;C;30.90;28.30;1;7;2410200;78000;ףכטצא;ןמהתוחה 2;;
135;C;30.00;27.40;1;7;2550000;85000;הגמנ;ןמהתוחה 2;;
136;E2;48.10;44.90;2;7;4088500;85000;הגמנ;ןמהתוחה 2;;
137;E3;74.50;67.00;3;8;6332500;85000;הגמנ;ןמהתוחה 2;;
138;E2;48.30;45.00;2;8;3767400;78000;ףכטצא;ןמהתוחה 2;;
139;1;38.90;36.10;1;8;3034200;78000;ףכטצא;ןמהתוחה 2;;
140;1;39.20;36.40;1;8;3057600;78000;ףכטצא;ןמהתוחה 2;;
141;C;28.50;26.10;1;8;2223000;78000;ףכטצא;ןמהתוחה 2;;
142;C;30.90;28.30;1;8;2410200;78000;ףכטצא;ןמהתוחה 2;;
143;C;30.00;27.40;1;8;2550000;85000;הגמנ;ןמהתוחה 2;;
144;E2;48.10;44.90;2;8;4088500;85000;הגמנ;ןמהתוחה 2;;
145;E3;74.50;67.00;3;9;6332500;85000;הגמנ;ןמהתוחה 2;;
146;E2;48.30;45.00;2;9;3767400;78000;ףכטצא;ןמהתוחה 2;;
147;1;38.90;36.10;1;9;3034200;78000;ףכטצא;ןמהתוחה 2;;
148;1;39.20;36.40;1;9;3057600;78000;ףכטצא;ןמהתוחה 2;;
149;C;28.50;26.10;1;9;2223000;78000;ףכטצא;ןמהתוחה 2;;
150;C;30.90;28.30;1;9;2410200;78000;ףכטצא;ןמהתוחה 2;;
151;C;30.00;27.40;1;9;2550000;85000;הגמנ;ןמהתוחה 2;;
152;E2;48.10;44.90;2;9;4088500;85000;הגמנ;ןמהüוחה 2;;
153;E3;74.50;67.00;3;10;5736 500;77000;הגמנ ;ןמהüוחה 2;;
154;E2;48.30;45.00;2;10;3622 500;75000;ףכטצא;ןמהüוחה 2;;
155;1;38.90;36.10;1;10;2917 500;75000;ףכטצא;ןמהüוחה 2;;
156;1;39.20;36.40;1;10;2940 000;75000;ףכטצא;ןמהüוחה 2;;
157;C;28.50;26.10;1;10;2137 500;75000;ףכטצא;ןמהüוחה 2;;
158;C;30.90;28.30;1;10;2317 500;75000;ףכטצא;ןמהüוחה 2;;
159;C;30.00;27.40;1;10;2310 000;77000;הגמנ ;ןמהüוחה 2;;
160;E2;48.10;44.90;2;10;3703 700;77000;הגמנ ;ןמהתוחה 2;;
41;E3;70.10;66.90;3;6;5958600;85000;כוס;ןמהתוחה 1;;
42;E2;47.60;44.00;2;6;4046000;85000;כוס;ןמהתוחה 1;;
